Ticker,Name,ISIN,URL,KGV_1,KUV_1,Datum_1,KGV_2,KUV_2,Datum_2
DMRE,,,https://www.boerse.de/aktien/demire-deutsche-mittelstand-real-estate/DE000A0XFSF0,N/A,6546.05,2026-02-28,,,
DMP,,,https://www.boerse.de/aktien/dermapharm-holding/DE000A2GS5D8,1878.20,180.71,2026-02-28,,,
DBK,,,https://www.boerse.de/aktien/deutsche-bank-ag-na/DE0005140008,1834.32,0.64,2026-02-28,,,
DB1,,,https://www.boerse.de/aktien/deutsche-boerse-na/DE0005810055,,,,,,
DEQ,,,https://www.boerse.de/aktien/deutsche-euroshop-na/DE0007480204,,,,,,
DHL,,,https://www.boerse.de/aktien/deutsche-post-ag-na/DE0005552004,,,,,,
DEZ,,,https://www.boerse.de/aktien/deutz-ag/DE0006305006,3348.65,94.80,2026-02-28,,,
GIL,,,https://www.boerse.de/aktien/dmg-mori-ag/DE0005878003,4840.00,171.21,2026-02-28,,,
DOU,,,https://www.boerse.de/aktien/douglas/DE000BEAU1Y4,1487.18,28.07,2026-02-28,,,
DRW8,,,https://www.boerse.de/aktien/draegerwerk-st-a-o-n/DE0005550602,N/A,N/A,2026-02-28,,,
DRW3,,,https://www.boerse.de/aktien/draegerwerk-vzo/DE0005550636,N/A,N/A,2026-02-28,,,
DBAN,,,https://www.boerse.de/aktien/dt-beteilig-ag-na/DE000A1TNUT7,N/A,N/A,2026-02-28,,,
DKG,,,https://www.boerse.de/aktien/dt-konsum-reit-ag/DE000A14KRD3,59.17,0.67,2026-02-28,,,
PBB,,,https://www.boerse.de/aktien/dt-pfandbriefbk/DE0008019001,5.34,N/A,2026-02-28,,,
DTE,,,https://www.boerse.de/aktien/dt-telekom-ag/DE0005557508,12.84,1.24,2026-02-28,,,
DUE,,,https://www.boerse.de/aktien/duerr-ag/DE0005565204,N/A,N/A,2026-02-28,,,
DWS,,,https://www.boerse.de/aktien/dws-group-gmbh-co-kgaa-on/DE000DWS1007,12.28,N/A,2026-02-28,,,
EOAN,,,https://www.boerse.de/aktien/e-on-se-na/DE000ENAG999,6.54,0.37,2026-02-28,,,
EUZ,,,https://www.boerse.de/aktien/eckert-ziegler-se/DE0005659700,N/A,N/A,2026-02-28,,,
E4C,,,https://www.boerse.de/aktien/ecotel-communication/DE0005854343,N/A,N/A,2026-02-28,,,
EIN3,,,https://www.boerse.de/aktien/einhell-germany-vzo/DE000A40ESU3,N/A,N/A,2026-02-28,,,
